"","es1","es2"
"572",57.8594477040067,7.66367538303626
"233",47.2688053178849,5.61161881524832
"503",14.9885583792278,11.3774809701409
"119",59.3776012165951,4.15211862715142
"218",4.34571284493602,6.17815070250172
"496",6.07969103125856,23.8100929971795
"36",8.80515284812129,22.6874700522756
"548",13.4364866069883,11.1030923682294
"226",5.21872790157977,28.4176353826248
"178",6.57260409055239,35.893505108662
"517",21.7018019495733,0.43646890427424
"514",59.8802376072824,5.34556094723699
"671",60.7892131767898,5.03667162282041
"408",46.9171089437118,7.97085000307726
"199",48.983503958465,3.1177026733504
"795",48.5158893681357,8.99783399595948
"242",9.49059334334644,26.7069815531194
"187",2.30631845032369,28.3092974695307
"610",45.7328314041018,1.73691837240695
"693",33.9264441242567,0.839205236849314
"678",31.0670076656324,14.4987509139486
"95",4.32344592615249,8.8800119129877
"209",5.27582623941206,10.1994678532665
"502",4.51300596501405,4.13492370261091
"154",19.500795304205,7.12796901306042
"50",20.3900699953147,16.3978534902265
"501",14.9496798899372,19.064440315002
"537",11.271803388699,17.0717043926759
"694",27.2010892081132,15.8728220060328
"256",45.1149774349765,1.68768461172349
"750",27.856037893962,9.64168497251588
"763",30.1230098841525,6.21507420626351
"438",52.3868144784998,9.24801746528744
"245",6.31912491379187,32.328141475364
"768",6.02888645969022,31.1725375276294
"197",53.7200685740472,7.7954818203685
"622",15.7386184549663,5.57398533730474
"575",7.93145671905824,15.2721046087222
"170",3.97382368431332,7.97441069151453
"482",7.86348609400128,42.9172272113698
