"","es1","es2"
"548",-14.8952745433187,-6.15405562691557
"1",-20,0
"2",-9.8613738279048,7.31591962493546
"4",-14.0437700265312,-0.68682209679874
"5",-6.92454330923742,7.70307391844628
"6",-9.07172885582047,6.20336582015014
"7",-9.07172885582047,11.2263638403096
"8",-10.7086505538119,-2.88972623576368
"9",-8.95629579540223,10.9722976880872
"10",-7.03302135249707,8.20157825136558
"11",-12.5114212128362,8.83104963205937
"13",-11.5594260861139,8.16919782719589
"14",-13.6664398096247,3.8613476571083
"15",-6.76106160817729,12.5093827454858
"16",-9.44091497762254,8.40287317675444
"17",-7.56643842844466,-1.55571669556095
"18",-7.83599543675294,10.2720790321249
"19",-12.0539434183353,4.58318930556066
"20",-8.85366920828817,6.09060471210356
"21",-7.68804184656945,0.460874710271513
"22",-11.6824409891707,5.59977826691071
"23",-8.22715586318602,6.79784606324048
"24",-8.7963084297587,6.15822734201017
"25",-10.1502883478641,21.294021507475
"26",-10.5564427723881,-1.96718936623922
"27",-8.06613735379803,1.33271781226783
"28",-9.81317751510738,1.12112189002762
"29",-9.7681997238072,11.3402053585736
"30",-6.8000518725178,9.52257900430712
"31",-12.1145484127841,7.30739459718474
"32",-9.56626271325639,12.8301761684184
"33",-9.71835307348871,8.33234446354655
"34",-6.85701692792097,7.33190687448344
"36",-8.88357462447432,3.95167328959011
"37",-9.89790911885487,9.67333507716532
"38",-10.3575618919824,2.61033243423269
"39",-8.18033573051761,4.12385520587909
"40",-7.25352614465743,10.668596676728
"41",-12.5721119734089,4.54542579497001
"42",-7.37112613429253,3.47357202573744
"44",-15.7686300258381,-4.32715904067785
"324",-17.2837743266996,-1.33816017129849
"244",-15.8593314773935,-3.84965258366849
"638",-15.5650471020251,-4.61668912815125
