"","es1","es2"
"253",-10.9596101099254,7.81640900081892
"13",-11.5594260861139,8.16919782719589
"581",-7.31211399538886,11.0186728173538
"209",-9.12503953999047,8.71759835641547
"69",-11.4610542621232,-1.7118858600712
"349",-9.39737871324463,5.15188563490242
"723",-10.7967575324996,-0.909244202707736
"143",-11.5199472011671,13.2945094559183
"436",-17.9563528628339,1.23525415790485
"420",-7.92401601991673,4.10874315739587
"691",-8.4900324987683,-1.21850957859263
"393",-6.96672125092021,7.53805753693032
"387",-7.33330379669858,3.05559652380511
"19",-12.0539434183353,4.58318930556066
"621",-8.21215509693625,7.80461413907787
"138",-9.39787107938488,-5.00000418889469
"375",-14.3514656777047,2.58560070326293
"617",-11.815633825494,7.0546242238373
"481",-12.7886589221314,9.26993432632282
"124",-11.6181083538522,1.85690042071527
"639",-6.12821525719851,10.8652097164998
"595",-13.1729116054042,6.69993597905354
"359",-6.62714582244432,7.90443148860747
"390",-6.6321920579563,21.9137319134001
"262",-12.3584653742159,5.07431264233597
"141",-7.64238100622375,8.07652440785149
"6",-9.07172885582047,6.20336582015014
"98",-10.4141731837057,2.17629646360511
"500",-6.92319394861224,5.55887278408435
"27",-8.06613735379803,1.33271781226783
"208",-10.3966207151659,0.210845683226296
"287",-5.94381113928413,9.27582816599219
"447",-7.26151450077688,13.519613043506
"598",-14.4909140921066,6.70410895760634
"649",-10.0209757695213,7.71681262984501
"463",-9.37609080860512,16.5271715472887
"796",-11.6902590387477,1.64851648279214
"215",-8.06281387394032,1.66300797859275
"261",-12.2559952500857,7.59453824107195
"368",-8.1829224762342,11.7217991257666
