"","es1","es2"
"299",6.64437218888991,-22.666427204114
"92",26.1166806873667,-15.307565080309
"171",52.1724914147445,-13.6078167650414
"155",19.4333406539538,-19.0715915976689
"291",80.30832266933,-20.2280733533505
"103",5.64645767845282,-15.1107158997667
"108",89.42319101828,-11.4319178519971
"9",35.7781757049625,-7.31502590435504
"222",28.6293765483276,-22.5435143866705
"393",169.220800141665,-28.7391539256302
"182",31.9383328590951,-20.2013370040185
"176",19.4555606428161,-20.2162365582949
"250",45.7521461386171,-17.4656935306752
"219",23.9636495315871,-22.7950167279527
"236",8.10613823175214,-19.8658717442432
"87",104.090090886125,-10.6330761858237
"131",33.0424149698559,-15.1259109080131
"331",122.637882042116,-24.8778566122504
"84",2.51008431221311,-13.942559546441
"76",4.02531102882905,-14.2832316164873
"374",150.891268196492,-24.6572143544153
"390",128.325667820167,-31.0713753237708
