"","es1","es2"
"69",48.3266590003508,-12.6735378516771
"94",8.66106905599232,-15.5613379974114
"125",2.55626696999154,-14.7695258711898
"49",46.8149855174779,-11.7870336416207
"180",14.9553037303677,-20.3834539104818
"19",7.4789214155018,-11.7195945070595
"66",119.88199075397,-9.75642114845489
"346",78.6735800633774,-29.4829492068458
"15",18.1371574935468,-9.0763725769026
"179",12.3655532281798,-20.4947190096854
"277",3.69665838758893,-19.6195607477378
"419",142.594403089729,-16.7710994225308
"411",145.850204229147,-32.1847384798165
"380",8.26856091155988,-17.1466164420592
"399",112.131060695021,-11.4597583604874
"249",57.5822321418454,-19.2340028455423
"227",57.0653149785266,-20.0605652647815
"441",145.872190879396,-11.5367350494393
"171",52.1724914147445,-13.6078167650414
"339",2.33729247198333,-19.3923620408735
"133",23.8465604610051,-17.275609886239
"217",18.8781354045323,-21.6622036724078
